stratum,va_type,level,experiment,n_reference,n_predicted,n_causes_union,sum_abs_csmf_error,csmf_similarity,csmf_accuracy_chance_corrected
overall,overall,level1,EXP1,3866,3866,6,0.05173305742369376,0.9741334712881531,0.9741334712881531
overall,overall,level1,EXP2,3866,3857,6,0.14274004936704454,0.9286299753164777,0.9286299753164777
overall,overall,level1,EXP3,3866,3579,6,0.11252279673042455,0.9437386016347877,0.9437386016347877
overall,overall,level1,EXP4,3866,3863,6,0.17831981796606178,0.9108400910169692,0.9108400910169692
overall,overall,level2,EXP1,3866,3866,48,0.23590274185204343,0.8820486290739783,0.8820486290739783
overall,overall,level2,EXP2,3866,3857,50,0.38136048686212387,0.8093197565689381,0.8093197565689381
overall,overall,level2,EXP3,3866,3579,50,0.2808999499436776,0.8595500250281611,0.8595500250281611
overall,overall,level2,EXP4,3866,3863,50,0.37791299766618697,0.8110435011669065,0.8110435011669065
overall,overall,level3,EXP1,3866,3866,88,0.5168132436627005,0.7415933781686497,0.7415933781686497
overall,overall,level3,EXP2,3866,3857,89,0.5472242874163663,0.7263878562918169,0.7263878562918169
overall,overall,level3,EXP3,3866,3579,88,0.5827426094651403,0.7086286952674299,0.7086286952674299
overall,overall,level3,EXP4,3866,3863,88,0.5514549738261263,0.7242725130869369,0.7242725130869369
va_type,adult,level1,EXP1,2453,2453,5,0.017937219730941707,0.9910313901345291,0.9910313901345291
va_type,adult,level1,EXP2,2453,2447,5,0.1410867588139657,0.9294566205930171,0.9294566205930171
va_type,adult,level1,EXP3,2453,2289,6,0.10428684876374837,0.9478565756181259,0.9478565756181259
va_type,adult,level1,EXP4,2453,2451,5,0.20797488084017057,0.8960125595799147,0.8960125595799147
va_type,adult,level2,EXP1,2453,2453,39,0.2087240114145944,0.8956379942927029,0.8956379942927029
va_type,adult,level2,EXP2,2453,2447,39,0.31378006231079725,0.8431099688446013,0.8431099688446013
va_type,adult,level2,EXP3,2453,2289,42,0.27830616196107627,0.8608469190194619,0.8608469190194619
va_type,adult,level2,EXP4,2453,2451,40,0.3331961147001407,0.8334019426499296,0.8334019426499296
va_type,adult,level3,EXP1,2453,2453,78,0.5291479820627802,0.7354260089686099,0.7354260089686099
va_type,adult,level3,EXP2,2453,2447,77,0.5409594116842491,0.7295202941578754,0.7295202941578754
va_type,adult,level3,EXP3,2453,2289,79,0.6407417954708858,0.6796291022645571,0.6796291022645571
va_type,adult,level3,EXP4,2453,2451,75,0.5659412042273985,0.7170293978863007,0.7170293978863007
va_type,child,level1,EXP1,912,912,5,0.05482456140350875,0.9725877192982456,0.9725877192982456
va_type,child,level1,EXP2,912,911,5,0.07001896893716178,0.9649905155314191,0.9649905155314191
va_type,child,level1,EXP3,912,869,5,0.10154089193063212,0.9492295540346839,0.9492295540346839
va_type,child,level1,EXP4,912,911,5,0.07712991314730287,0.9614350434263486,0.9614350434263486
va_type,child,level2,EXP1,912,912,35,0.24342105263157904,0.8782894736842105,0.8782894736842105
va_type,child,level2,EXP2,912,911,36,0.30219587112677415,0.848902064436613,0.848902064436613
va_type,child,level2,EXP3,912,869,37,0.26626945672581925,0.8668652716370904,0.8668652716370904
va_type,child,level2,EXP4,912,911,33,0.26935168602076,0.86532415698962,0.86532415698962
va_type,child,level3,EXP1,912,912,60,0.6162280701754386,0.6918859649122807,0.6918859649122807
va_type,child,level3,EXP2,912,911,60,0.5168409497949045,0.7415795251025478,0.7415795251025478
va_type,child,level3,EXP3,912,869,65,0.6176538873074515,0.6911730563462742,0.6911730563462742
va_type,child,level3,EXP4,912,911,56,0.519137442948755,0.7404312785256225,0.7404312785256225
va_type,infant,level1,EXP1,501,501,6,0.31536926147704586,0.8423153692614771,0.8423153692614771
va_type,infant,level1,EXP2,501,499,6,0.4893299573198292,0.7553350213400853,0.7553350213400853
va_type,infant,level1,EXP3,501,421,6,0.20671246580473257,0.8966437670976337,0.8966437670976337
va_type,infant,level1,EXP4,501,501,6,0.42315369261477037,0.7884231536926148,0.7884231536926148
va_type,infant,level2,EXP1,501,501,19,0.3832335329341317,0.8083832335329342,0.8083832335329342
va_type,infant,level2,EXP2,501,499,27,1.0026600106400425,0.49866999467997875,0.49866999467997875
va_type,infant,level2,EXP3,501,421,22,0.2808065579055665,0.8595967210472167,0.8595967210472167
va_type,infant,level2,EXP4,501,501,25,0.9341317365269463,0.5329341317365268,0.5329341317365268
va_type,infant,level3,EXP1,501,501,25,0.39920159680638717,0.8003992015968064,0.8003992015968064
va_type,infant,level3,EXP2,501,499,32,1.0106440425761702,0.4946779787119149,0.4946779787119149
va_type,infant,level3,EXP3,501,421,27,0.2808065579055665,0.8595967210472167,0.8595967210472167
va_type,infant,level3,EXP4,501,501,29,0.93812375249501,0.530938123752495,0.530938123752495
